Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Rebeca,2020,13+,123 min,"Dramas, Románticas, Thrillers",Ben Wheatley,"Lily James, Armie Hammer, Kristin Scott Thomas, Keeley Hawes, Ann Dowd, Sam Riley, Tom Goodman-Hill, Mark Lewis Jones, John Hollingworth, Bill Paterson",Reino Unido,6.0/10,Netflix
Un mundo azul: La carrera para resolver la crisis del agua,2020,7+,51 min,"Documentales, Extranjeras",Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith","Canadá, Reino Unido",6.7/10,Netflix
Más aventuras sobre ruedas: Las tres señoritas Frizzle,2020,TODOS LO,46 min,Para toda la familia,Richard Weston,"Kate McKinnon, Roman Lutterotti, Mikaela Blake, Gabby Clarke, Leke Maceda-Rustecki, Matthew Mucci, Birva Pandya, Lynsey Pham, Kaden Stephen",Canadá,4.1/10,Netflix
Misterios sin resolver,2020,13+,2 temporadas,"Docuseries, Estadounidenses, Policiacas",NA,NA,NA,7.4/10,Netflix
Spider-Man: Un nuevo universo,2018,13+,117 min,"Acción, Comedias, Premiadas","Peter Ramsey, Rodney Rothman, Bob Persichetti","Shameik Moore, Jake Johnson, Hailee Steinfeld, Brian Tyree Henry, Lauren Vélez, Mahershala Ali, Lily Tomlin, Kathryn Hahn, Liev Schreiber, Kimiko Glenn, Nicolas Cage, John Mulaney",Estados Unidos,8.4/10,Netflix
Alguien tiene que morir,2020,16+,1 temporada,"Dramas, Españolas, Extranjeras",Manolo Caro,"Carmen Maura, Cecilia Suárez, Ester Expósito, Ernesto Alterio, Alejandro Speitzer, Isaac Hernández, Carlos Cuevas, Mariola Fuentes, Pilar Castro, Juan Carlos Vellido, Eduardo Casanova, Manuel Morón, Javier Pereira","México, España",6.3/10,Netflix
El juicio de los 7 de Chicago,2020,16+,130 min,Dramas,Aaron Sorkin,"Sacha Baron Cohen, Eddie Redmayne, Yahya Abdul-Mateen II, Jeremy Strong, Mark Rylance, Joseph Gordon-Levitt, Michael Keaton, Frank Langella, John Carroll Lynch, Alex Sharp, John Doman, Ben Shenkman","Estados Unidos, Reino Unido, India",7.9/10,Netflix
Grand Army,2020,16+,1 temporada,"Dramas, Estadounidenses, Juveniles",NA,"Odessa A’zion, Odley Jean, Amir Bageria, Maliq Johnson, Amalia Yoo, Alphonso Romero Jones II, Thelonius Serrell-Freed, Anthony Ippolito, Brian Altemus",Estados Unidos,7.3/10,Netflix
La Revolución,2020,16+,1 temporada,"Acción, Dramas, Extranjeras",NA,"Amir El Kacem, Marilou Aussilloux, Lionel Erdogan, Isabel Aimé Gonzalez Sola, Julien Frison, Doudou Masta, Dimitri Storoge, Amélia Lacquemant, Coline Beal, Laurent Lucas, Gaia Weiss, Chiara Tantimonaco, Nina Tantimonaco, Pierre Andrau, Philippine Martinot, Jérémie Covillault",Francia,6.5/10,Netflix
Los últimos frikis del mundo,2020,7+,3 temporadas,"Comedias, Infantiles",NA,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",Estados Unidos,7.5/10,Netflix
Reformas para todos los bolsillos,2020,TODOS LO,1 temporada,"Estadounidenses, Realities y talk shows",NA,NA,Estados Unidos,5.1/10,Netflix
Star Trek: Discovery,2020,16+,3 temporadas,"Acción, Ciencia ficción y fantásticas, Estadounidenses",NA,"Sonequa Martin-Green, Doug Jones, Shazad Latif, Anthony Rapp, Mary Wiseman, Jason Isaacs, Michelle Yeoh",Estados Unidos,7.3/10,Netflix
Agencia de Asuntos Mágicos,2020,7+,1 temporada,"Ciencia ficción y fantásticas, Extranjeras, Infantiles",NA,"Kimie Tsukakoshi, Elizabeth Cullen, Mia Milnes, Julian Cullen, Rainbow Wedell, Jamie Carter, Christopher Sommers","Australia, Alemania",6.7/10,Netflix
Como la lluvia al caer,2020,7+,87 min,"Dramas, Extranjeras, Románticas",Lasja Fauzia Susatyo,"Jefri Nichol, Aurora Ribero, Axel Matthew, Nadya Arina, Karina Suwandhi, Rebecca Klopper",Indonesia,6.6/10,Netflix
Consejos de una canguro para cazar monstruos,2020,7+,99 min,Para toda la familia,Rachel Talalay,"Tamara Smart, Oona Laurence, Tom Felton, Troy Leigh-Anne Johnson, Lynn Masako Cheng, Ty Consiglio, Ian Ho, Indya Moore, Alessio Scalzotto, Tamsen McDonough",Estados Unidos,5.4/10,Netflix
Distanciamiento físico,2020,16+,1 temporada,"Comedias, Dramas, Estadounidenses",NA,"Danielle Brooks, Oscar Nuñez, Mike Colter, Heather Burns, Okieriete Onaodowan, Ajay Naidu, Shakira Barrera, Steven Weber, Helena Howard, Daphne Rubin-Vega, Guillermo Díaz, Miguel Sandoval, Camila Perez, Gianna Aragon, Tom Costanzo, Luca Costanzo, Olli Haaskivi, Marsha Stephanie Blake, Isabella Ferreira, Rocco Luna, Larita Brooks, Misha Brooks, Liam Foley, Zoë Verbil, Anthony Norman, Brian Jordan Alvarez, Max Jenkins, Peter Vack, Rana Roy, Peter Scanavino, Ali Ahn, Tami Sagher, Barbara Rosenblat, Michael Mulheren, Leo Bai-Scanavino, Becky Ann Baker, Dylan Baker, Marcia DeBonis, Raymond Anthony Thomas, Sunita Mani, Kylie Liya Page, David Iacono, Lachlan Riley Watson, Niles Fitch, Will Meyers, Ava DeMary, Lydia Look, Asante Blackk, Ayize Ma'at, Lovie Simone",Estados Unidos,5.3/10,Netflix
Mutant Busters,2017,7+,1 temporada,"Comedias, Españolas, Infantiles",NA,"Dermot Arrigan, James Giblin, Noah Levin, Molly Malcolm, Colin Morgan, Benjamin Nathan-Serio, Alex Wagner, Joshua Zamrycki",España,5.9/10,Netflix
Polly Pocket,2018,TODOS LO,1 temporada,Infantiles,NA,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy","Canadá, Estados Unidos",6.6/10,Netflix
Todos con Roona,2020,13+,42 min,"Documentales, Extranjeras","Pavitra Chalam, Akshay Shankar",NA,India,7.3/10,Netflix
BLACKPINK: Light Up the Sky,2020,7+,80 min,"Documentales, Música y musicales",Caroline Suh,Blackpink,Estados Unidos,7.5/10,Netflix
Las tres muertes de Marisela Escobedo,2020,16+,110 min,"Documentales, Extranjeras",Carlos Pérez Osorio,NA,México,8.4/10,Netflix
De retiro con Bert Kreischer,2020,16+,1 temporada,"Comedias, Estadounidenses, Realities y talk shows",NA,"Bert Kreischer, Anthony Anderson, Caitlyn Jenner, Tom Segura, Joey Diaz, Nikki Glaser, Fortune Feimster, Bobby Lee, Donnell Rawlings, Kaley Cuoco, Joel McHale, Ms. Pat, Deon Cole, Big Jay Oakerson",Estados Unidos,7.2/10,Netflix
Los Octonautas y la Gran Barrera de Coral,2020,TODOS LO,47 min,Para toda la familia,Blair Simmons,"Simon Greenall, Rob Rackstraw, Jo Wyatt, Paul Buckley, Simon Foster, Teresa Gallagher, Richard Grieve, Michael Murphy, Paul Panting, Keith Wickham",Reino Unido,6.8/10,Netflix
Escuela de cachorros,2020,TODOS LO,2 temporadas,"Comedias, Infantiles",NA,"Christian Convery, Don Lake, Chance Hurstfield, Aria Birch, Dylan Schombing, Riley O'Donnell",Estados Unidos,6.6/10,Netflix
Kipo y la era de las bestias mágicas,2020,7+,3 temporadas,"Comedias, Infantiles",NA,"Karen Fukuhara, Sydney Mikayla, Deon Cole, Coy Stewart, Dee Bradley Baker, Sterling K. Brown, Dan Stevens, Jake Green, Steve Blum",Estados Unidos,8.4/10,Netflix
Riverdale,2018,13+,3 temporadas,"Dramas, Estadounidenses, Juveniles",Rob Seidenglanz,"K.J. Apa, Lili Reinhart, Camila Mendes, Cole Sprouse, Casey Cott, Luke Perry, Marisol Nichols, Madelaine Petsch, Mädchen Amick, Ashleigh Murray, Skeet Ulrich, Lochlyn Munro, Martin Cummins, Nathalie Boltt, Mark Consuelos, Vanessa Morgan, Charles Melton, Robin Givens, Molly Ringwald, Asha Bromfield, Jordan Connor, Drew Ray Tanner, Alvin Sanders",Estados Unidos,6.9/10,Netflix
Stranger,2020,16+,2 temporadas,"Dramas, Extranjeras, Policiacas",NA,"Seung-woo Cho, Doona Bae, Joon-hyuk Lee, Kyeong-yeong Lee, Jae-myung Yoo, Hye-sun Shin",Corea del Sur,8.6/10,Netflix
El invitado,2012,16+,115 min,Acción,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","Sudáfrica, Japón, Estados Unidos",6.7/10,Netflix
Secreto bien guardado,2019,13+,1 temporada,"Dramas, Extranjeras, Románticas",NA,"Oriana Sabatini, Victorio D'Alessandro, Noemí Frenkel, Matías Mayer, Paula Sartor, Agustina Palma, Graciela Tenenbaum, Bárbara Lombardo",Argentina,5.1/10,Netflix
Fast & Furious: Espías a todo gas,2020,7+,2 temporadas,Infantiles,NA,"Tyler Posey, Charlet Chung, Jorge Diaz, Camille Ramsey, Luke Youngblood, Renée Elise Goldsberry",Estados Unidos,5.3/10,Netflix
Ginny se casa con Sunny,2020,13+,126 min,"Comedias, Extranjeras, Románticas",Puneet Khanna,"Yami Gautam, Vikrant Massey, Suhail Nayyar, Ayesha Raza Mishra, Isha Talwar, Rajeev Gupta",India,5.5/10,Netflix
La maldición de Bly Manor,2020,16+,1 temporada,"Dramas, Estadounidenses, Terror",NA,"Victoria Pedretti, Oliver Jackson-Cohen, Henry Thomas, Amelia Eve, T'Nia Miller, Rahul Kohli, Tahirah Sharif, Amelie Bea Smith, Benjamin Evan Ainsworth",Estados Unidos,7.5/10,Netflix
La universidad para sordos,2020,13+,1 temporada,"Docuseries, Estadounidenses",NA,NA,Estados Unidos,6.4/10,Netflix
Rapera a los 40,2020,16+,124 min,"Comedias, Dramas, Independientes",Radha Blank,"Radha Blank, Peter Kim, Oswin Benjamin, Imani Lewis, Haskiri Velazquez, Antonio Ortiz, T.J. Atoms, Reed Birney",Estados Unidos,7.1/10,Netflix
RuPaul: Reinas del drag: All Stars,2020,13+,2 temporadas,"Estadounidenses, Realities y talk shows",NA,"RuPaul, Michelle Visage, Carson Kressley, Ross Mathews",Estados Unidos,8.5/10,Netflix
Supermonstruos: Día de los Monstruos,2020,TODOS LO,25 min,Para toda la familia,NA,NA,Canadá,3.6/10,Netflix
Bigflo & Oli: Hip Hop Frenzy,2020,7+,100 min,"Documentales, Extranjeras, Música y musicales","Bigflo & Oli, Jérémie Levypon",Bigflo & Oli,Francia,7.2/10,Netflix
Modern Family,2019,13+,11 temporadas,"Comedias, Estadounidenses",NA,"Ed O'Neill, Sofía Vergara, Julie Bowen, Ty Burrell, Jesse Tyler Ferguson, Eric Stonestreet, Rico Rodriguez, Nolan Gould, Sarah Hyland, Ariel Winter, Aubrey Anderson-Emmons",Estados Unidos,8.4/10,Netflix
Palermo Hollywood,2004,16+,106 min,"Dramas, Extranjeras",Eduardo Pinto,"Brian Maya, Matías Desiderio, Manuela Pal, Azul Lombardía",Argentina,5.3/10,Netflix
Cincuenta sombras más oscuras,2017,16+,118 min,"Dramas, Románticas",James Foley,"Dakota Johnson, Jamie Dornan, Eric Johnson, Luke Grimes, Eloise Mumford, Bella Heathcote, Rita Ora, Marcia Gay Harden, Victor Rasuk, Max Martini, Bruce Altman","Estados Unidos, China, Japón",4.6/10,Netflix
El Halloween de Hubie,2020,7+,104 min,"Comedias, Terror",Steve Brill,"Adam Sandler, Kevin James, Julie Bowen, Ray Liotta, Steve Buscemi, Maya Rudolph, Rob Schneider, June Squibb, Kenan Thompson, Tim Meadows, Michael Chiklis, Karan Brar, George Wallace, Paris Berelc, Noah Schnapp, China Anne McClain, Colin Quinn, Kym Whitley, Lavell Crawford, Mikey Day, Jackie Sandler, Sadie Sandler, Sunny Sandler",Estados Unidos,5.2/10,Netflix
Hacia el lago,2020,16+,1 temporada,"Ciencia ficción y fantásticas, Dramas, Extranjeras",Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",Rusia,7.2/10,Netflix
Manchester frente al mar,2016,13+,137 min,"Dramas, Premiadas",Kenneth Lonergan,"Casey Affleck, Michelle Williams, Kyle Chandler, Lucas Hedges, C.J. Wilson, Heather Burns, Tate Donovan, Josh Hamilton, Matthew Broderick, Gretchen Mol",Estados Unidos,7.8/10,Netflix
McLaren: La carrera de un campeón,2017,7+,93 min,"Documentales, Extranjeras",Roger Donaldson,NA,Nueva Zelanda,7.3/10,Netflix
Centella: La heroína de Halloween,2020,TODOS LO,33 min,Para toda la familia,Jon Izen,"Nahanni Mitchell, Dean Petriw, Terry Klassen, Sam Vincent, Rhona Rees, Laara Sadiq",Canadá,4.1/10,Netflix
Padre de familia,2019,16+,6 temporadas,"Comedias, Estadounidenses",NA,"Seth MacFarlane, Alex Borstein, Seth Green, Mila Kunis, Mike Henry, Danny Smith, John Viener, Patrick Warburton, Alec Sulkin, Ralph Garman, Adam West",Estados Unidos,8.1/10,Netflix
Bad Boy Billionaires: India,2020,7+,1 temporada,"Británicas, Docuseries, Extranjeras",NA,NA,India,8.0/10,Netflix
Ola de crímenes,2018,13+,93 min,"Comedias, Españolas",Gracia Querejeta,"Maribel Verdú, Juana Acosta, Paula Echevarría, Antonio Resines, Miguel Bernardeau, Raúl Peña, Asier Rikarte",NA,NA,Netflix
The Blacklist,2019,16+,7 temporadas,"Dramas, Estadounidenses, Policiacas",NA,"James Spader, Megan Boone, Diego Klattenhoff, Ryan Eggold, Harry Lennix, Amir Arison, Hisham Tawfiq, Mozhan Marnò",Estados Unidos,8.0/10,Netflix
12 valientes,2018,16+,130 min,"Acción, Dramas",Nicolai Fuglsig,"Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Austin Hébert, Austin Stowell, Ben O'Toole, Kenneth Miller, Kenny Sheard, Jack Kesy, Rob Riggle, William Fichtner",Estados Unidos,6.6/10,Netflix
David Attenborough: Una vida en nuestro planeta,2020,7+,84 min,Documentales,"Alastair Fothergill, Jonnie Hughes, Keith Scholey",David Attenborough,"Estados Unidos, Reino Unido",9.1/10,Netflix
Guerra Mundial Z,2013,16+,117 min,"Acción, Ciencia ficción y fantásticas, Premiadas",Marc Forster,"Brad Pitt, Mireille Enos, Daniella Kertesz, James Badge Dale, David Morse, Ludi Boeken, Fana Mokoena, Abigail Hargrove, Sterling Jerins, Fabrizio Guido","Estados Unidos, Reino Unido, Malta",7.0/10,Netflix
Eighth Grade,2018,13+,94 min,"Comedias, Independientes, Premiadas",Bo Burnham,"Daniel Zolghadri, Elsie Fisher, Jake Ryan, Josh Hamilton, Catherine Oliviere, Nora Mullins, Imani Lewis, Josh Hamilton, Luke Prael, Fred Hechinger, Emily Robinson, Jake Ryan",Estados Unidos,7.4/10,Netflix
Ahí te encargo,2020,7+,112 min,"Comedias, Extranjeras, Románticas",Salvador Espinosa,"Mauricio Ochmann, Esmeralda Pimentel, Matteo Giannini, Regina Reynoso, Juan Martín Jauregui, Tato Alexander, Verónica Bravo, Fernando Becerril, Moisés Arizmendi, Tiaré Scanda, Mariana Cabrera, Montserrat Marañón, Verónica Langer",México,5.7/10,Netflix
"Descansa en paz, Dick Johnson",2020,13+,90 min,Documentales,Kirsten Johnson,NA,Estados Unidos,7.6/10,Netflix
Emily en París,2020,16+,1 temporada,"Comedias, Dramas, Estadounidenses",NA,"Lily Collins, Philippine Leroy-Beaulieu, Ashley Park, Lucas Bravo, Kate Walsh, Samuel Arnold, Bruno Gouery, Camille Razat",Estados Unidos,7.2/10,Netflix
Lazos malditos,2020,16+,93 min,"Extranjeras, Terror, Thrillers",Domenico de Feudis,"Riccardo Scamarcio, Mía Maestro",Italia,4.6/10,Netflix
Òlòtūré,2020,16+,107 min,"Dramas, Extranjeras",Kenneth Gyang,"Beverly Osu, Sharon Ooja, Omowunmi Dada, Pearl Okorie, Wofai Samuel, Ikechukwu Onunaku, Kemi Lala Akindoju, Blossom Chukwujekwu, Adebukola Oladipupo, Omoni Oboli, Segun Arinze, Ada Ameh, Sambasa Nzeribe, Patrick Doyle, Gregory Ojefua",Nigeria,5.2/10,Netflix
Song Exploder,2020,16+,1 temporada,"Docuseries, Estadounidenses",NA,Hrishikesh Hirway,Estados Unidos,7.4/10,Netflix
Tut Tut Cory Bólidos: Halloween,2020,TODOS LO,22 min,Para toda la familia,"Alex Woo, Stanley Moore","Alan C. Lim, Smith Foreman, Maisie Benson, Ann Kendrick, Kerry Gudjohnsen, Paul Killam, Stanley Moore, Tyler Hendrix, Ella Joy Ballesteros, Jimmy Olea",,5.2/10,Netflix
Un hombre serio,2020,13+,115 min,"Comedias, Dramas, Extranjeras",Sudhir Mishra,"Nawazuddin Siddiqui, Nasser, Aakshath Das, Indira Tiwari, Sanjay Narvekar, Shweta Basu Prasad",India,6.9/10,Netflix
Vampiros contra el Bronx,2020,13+,86 min,"Comedias, Terror",Oz Rodriguez,"Jaden Michael, Gerald W. Jones III, Gregory Diaz IV, Sarah Gadon, Method Man, Shea Whigham, Coco Jones, The Kid Mero, Chris Redd, Vladimir Caamaño, Jeremie Harris, Adam David Thompson, Zoe Saldana",Estados Unidos,5.5/10,Netflix
Al filo de la muerte,2002,16+,99 min,Acción,Don Michael Paul,"Steven Seagal, Morris Chestnut, Ja Rule, Nia Peeples, Tony Plana, Kurupt, Michael Taliferro, Claudia Christian, Linda Thorson, Bruce Weitz, Michael McGrady, Richard Bremmer","Estados Unidos, Alemania",4.7/10,Netflix
Al filo del mañana,2014,16+,113 min,"Acción, Ciencia ficción y fantásticas, Premiadas",Doug Liman,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton, Jonas Armstrong, Tony Way, Kick Gurry, Franz Drameh, Dragomir Mrsic, Charlotte Riley","Estados Unidos, Canadá",7.9/10,Netflix
Argo,2012,13+,120 min,"Dramas, Premiadas, Thrillers",Ben Affleck,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Scoot McNairy, Rory Cochrane, Christopher Denham, Kyle Chandler","Estados Unidos, Reino Unido",7.7/10,Netflix
Bajo el mismo techo,2019,13+,98 min,"Comedias, Españolas",Juana Macías,"Jordi Sánchez, Silvia Abril, Daniel Guzmán, Malena Alterio, Álvaro Cervantes, Cristina Castaño, Ana Morgade",NA,NA,Netflix
"Buenos días, Verônica",2020,18+,1 temporada,"Extranjeras, Policiacas, Thrillers",NA,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",Brasil,7.6/10,Netflix
Carmen Sandiego,2020,7+,3 temporadas,"Infantiles, Thrillers",NA,"Gina Rodriguez, Finn Wolfhard, Abby Trott, Michael Hawley, Michael Goldsmith, Kari Wahlgren, Sharon Muthu, Liam O'Brien, Rafael Petardi, Charlet Chung",Estados Unidos,7.9/10,Netflix
Código Lyoko,2007,7+,4 temporadas,Infantiles,NA,"Raphaelle Bruneau, Sophie Landresse, Marie-Line Landerwyn, Géraldine Frippiat, Carole Baillien, Bruno Mullenaerts, Frédéric Meaux","Francia, Bélgica",7.3/10,Netflix
Constantine,2005,16+,121 min,"Acción, Ciencia ficción y fantásticas",Francis Lawrence,"Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou, Max Baker, Pruitt Taylor Vince, Gavin Rossdale, Tilda Swinton, Peter Stormare, Jesse Ramirez","Estados Unidos, Alemania",7.0/10,Netflix
El clan de los rompehuesos,2005,13+,114 min,Comedias,Peter Segal,"Adam Sandler, Chris Rock, James Cromwell, Nelly, William Fichtner, David Patrick Kelly, Tracy Morgan, Cloris Leachman, Burt Reynolds, Michael Irvin",Estados Unidos,6.4/10,Netflix
Focus,2015,13+,105 min,"Comedias, Dramas, Románticas","Glenn Ficarra, John Requa","Will Smith, Margot Robbie, Adrian Martinez, Gerald McRaney, Rodrigo Santoro, BD Wong, Brennan Brown, Robert Taylor, Dotan Bonen, Griff Furst","Estados Unidos, Argentina",6.6/10,Netflix
Gracias a ti,2020,13+,102 min,"Acción, Comedias, Extranjeras",Adrian Teh,"Hairul Azreen, Janna Nick, Amerul Affendi, Henley Hii, Nam Ron, Theebaan Govindasamy, Taufiq Hanafi, Hafizul Kamal, Josiah Hogan, Sophia Albarakbah, Sugeeta Chandran, Anna Jobling",Malasia,3.4/10,Netflix
Gremlins,1984,13+,106 min,"Ciencia ficción y fantásticas, Comedias, Terror",Joe Dante,"Zach Galligan, Phoebe Cates, Hoyt Axton, Frances Lee McCain, Polly Holliday, Judge Reinhold, Corey Feldman, Keye Luke, Dick Miller, Jackie Joseph",Estados Unidos,7.3/10,Netflix
Jessabelle,2014,16+,90 min,"Terror, Thrillers",Kevin Greutert,"Sarah Snook, Mark Webber, Joelle Carter, David Andrews, Amber Stevens West, Ana de la Reguera, Larisa Oleynik, Chris Ellis",Estados Unidos,5.4/10,Netflix
La peor bruja,2020,7+,4 temporadas,"Británicas, Infantiles",NA,"Bella Ramsey, Clare Higgins, Meibh Campbell, Raquel Cassidy, Jenny Richardson, Miriam Petche, Tallulah Milligan, Wendy Craig, Shauna Shim","Reino Unido, Alemania",7.3/10,Netflix
La ventana secreta,2004,16+,96 min,Thrillers,David Koepp,"Johnny Depp, John Turturro, Maria Bello, Timothy Hutton, Charles S. Dutton, Len Cariou, Joan Heney, John Dunn-Hill",Estados Unidos,6.6/10,Netflix
Loca academia de policía,1984,16+,96 min,"Acción, Comedias",Hugh WIlson,"Steve Guttenberg, Kim Cattrall, G.W. Bailey, Bubba Smith, Donovan Scott, George Gaynes, Andrew Rubin, David Graf, Leslie Easterbrook, Michael Winslow",Estados Unidos,6.7/10,Netflix
Los juegos del resacón,2014,16+,84 min,Comedias,Josh Stolberg,"Ben Begley, Ross Nathan, Herbert Russell, Rita Volk, John Livingston, Robert Wagner, Caitlyn Jenner, Hank Baskett, Brandi Glanville, Camille Grammer, Kyle Richards, Dat Phan, Tara Reid, Jonathan Silverman",Estados Unidos,3.6/10,Netflix
Más Allá De La Vida,2010,13+,129 min,"Dramas, Premiadas, Thrillers",Clint Eastwood,"Matt Damon, Cécile De France, Jay Mohr, Bryce Dallas Howard, George McLaren, Frankie McLaren, Thierry Neuvic, Marthe Keller, Derek Jacobi, Lyndsey Marshal, Richard Kind",Estados Unidos,6.4/10,Netflix
Miss Agente Especial,2000,13+,110 min,"Acción, Comedias, Románticas",Donald Petrie,"Sandra Bullock, Michael Caine, Benjamin Bratt, Candice Bergen, William Shatner, Ernie Hudson, John DiResta, Heather Burns, Melissa De Sousa, Steve Monroe, Deirdre Quinn, Wendy Raquel Robinson",Estados Unidos,6.2/10,Netflix
Oktoberfest: Sangre y cerveza,2020,13+,1 temporada,"Dramas, Extranjeras",NA,"Mišel Matičević, Martina Gedeck, Klaus Steinbacher, Mercedes Müller, Maximilian Brückner, Brigitte Hobmeier, Markus Krojer, Martin Feifel, Michael Kranz, Vladimir Burlakov","Alemania, República Checa",6.8/10,Netflix
Pesadillas,2015,7+,104 min,"Acción, Ciencia ficción y fantásticas, Comedias",Rob Letterman,"Jack Black, Dylan Minnette, Odeya Rush, Amy Ryan, Ryan Lee, Jillian Bell, Halston Sage, Ken Marino, Timothy Simons, Amanda Lund","Estados Unidos, Australia",6.3/10,Netflix
