Nombre,Año,Edad,Duración,Genero,Director,Actores,País,IMDb,Plataforma
Sr. Seis,2015,13+,137 min,"Acción, Dramas, Extranjeras",Guan Hu,"Feng Xiaogang, Zhang Hanyu, Xu Qing, Kris Wu, Li Yi Feng, Liu Hua, Bai Ju-Gang, Jiang Shan, Liang Jing",China,7.0/10,Netflix
Force 2,2016,16+,123 min,"Acción, Extranjeras",Abhinay Deo,"John Abraham, Sonakshi Sinha, Tahir Raj Bhasin, Narendra Jha, Adil Hussain, Vikram Kapadia, Patricia Hittler, Genelia D'souza, Raj Babbar, Freddy Daruwala, Boman Irani",India,6.2/10,Netflix
Mike Birbiglia: Thank God for Jokes,2017,13+,71 min,Películas,"Seth Barrish, Mike Birbiglia",Mike Birbiglia,Estados Unidos,7.5/10,Netflix
Nila,2016,7+,94 min,"Dramas, Extranjeras, Románticas",Selvamani Selvaraj,"Sruthi Hariharan, Vicky R",India,6.8/10,Netflix
Sangre en la Boca,2016,16+,98 min,"Dramas, Extranjeras",Hernán Belón,"Leonardo Sbaraglia, Eva De Dominici, Erica Banchi, Osmar Nuñez, Claudio Rissi, Erica Farías, Pablo Paoliello, Diego Chavez","Argentina, Italia",5.6/10,Netflix
People You May Know,2016,16+,108 min,Dramas,J.C. Falcón,"Sean Maher, Andrea Grano, Mark Cirillo, Nacho San José, Curt Hansen, Trey McCurley, Jimmy Shaw, Carmen Maura","Estados Unidos, España",5.6/10,Netflix
Jonas,2015,13+,97 min,"Dramas, Extranjeras",Lô Politi,"Jesuíta Barbosa, Laura Neiva, Criolo, Ana Cecília Costa, João Fábio Cabral, Ariclenes Barroso, Karol Conká, Chay Suede, Luciana Souza, Chris Couto, Roberto Berindelli",Brasil,5.3/10,Netflix
La voz de tu corazón,2016,13+,1 temporada,"Comedias, Extranjeras",NA,"Kwang-soo Lee, Dae-Myung Kim, So-min Jung, Byeong-ok Kim, Mi-kyung Kim",Corea del Sur,8.3/10,Netflix
Las Leyendas,2017,7+,1 temporada,Infantiles,NA,"Benny Emmanuel, Mayté Cordeiro, Andrés Couturier, Ricardo O'Farrill, Alondra Hidalgo, Alejandro Villeli, Sofía Niño de Rivera, Johnny Rose, Annemarie Blanco, Oscar Cheda, Paul Tei, Cydney J. Fam, Lisa Grossman",México,7.4/10,Netflix
Operaciones especiales,2015,16+,99 min,"Acción, Extranjeras",Tomas Portella,"Cleo Pires, Marcos Caruso, Thiago Martins, Fabrício Boliveira, Fabiula Nascimento, Antonio Pedro Tabet, Fábio Lago, Analú Prestes, Gillray Coutinho, Augusto Madeira",Brasil,6.4/10,Netflix
Ya no me siento a gusto en este mundo,2017,16+,97 min,"Dramas, Independientes, Premiadas",Macon Blair,"Melanie Lynskey, Elijah Wood, David Yow, Jane Levy, Devon Graye, Christine Woods, Robert Longstreet, Gary Anthony Williams",Estados Unidos,6.9/10,Netflix
Trevor Noah: Afraid of the Dark,2017,16+,67 min,Películas,David Paul Meyer,Trevor Noah,Estados Unidos,7.2/10,Netflix
GANTZ:O,2016,18+,96 min,"Acción, Anime, Ciencia ficción y fantásticas","Keiichi Sato, Yasushi Kawamura","Daisuke Ono, M・A・O, Tomohiro Kaku, Saori Hayami, Shuichi Ikeda, Kendo Kobayashi, Razor Ramon RG, Razor Ramon HG, Masane Tsukayama, Masaya Onosaka, Kenjiro Tsuda, Teruaki Ogawa, Hisanori Yoshida, Yuki Kaji",Japón,7.1/10,Netflix
Love for Ten: Generation of Youth,2013,13+,1 temporada,"Comedias, Dramas, Extranjeras",NA,"Sung-yeol Lee, Ji-hyun Nam, Clara Lee, Jin Won",Corea del Sur,6.6/10,Netflix
Rocky Handsome,2016,16+,119 min,"Acción, Extranjeras",Nishikant Kamat,"John Abraham, Diya Chalwad, Shruti Haasan, Nishikant Kamat, Sharad Kelkar, Nathalia Kaur",India,6.8/10,Netflix
El día de la novia,2017,13+,71 min,"Comedias, Independientes",Michael Paul Stephenson,"Bob Odenkirk, Amber Tamblyn, Natasha Lyonne, Alex Karpovsky, Stacy Keach, Andy Richter, Ed Begley Jr., David Sullivan, Larry Fessenden, June Diane Raphael, Rich Sommer, Steven Michael Quezada, Echo Kellum, Stephanie Courtney, Toby Huss, Tucker Smallwood, Kevin O'Grady, Nate Mooney",Estados Unidos,5.2/10,Netflix
Herbert,2015,13+,109 min,"Dramas, Extranjeras, Independientes",Thomas Stuber,"Peter Kurth, Lena Lauzemis, Lina Wendel, Edin Hasanovic, Marko Dyrlich, Peter Schneider, Reiner Schöne, Udo Kroschwald",Alemania,7.1/10,Netflix
Katherine Ryan: In Trouble,2017,16+,64 min,Películas,Colin Dench,Katherine Ryan,Reino Unido,6.9/10,Netflix
Luces nocturnas,2016,13+,1 temporada,"Dramas, Extranjeras",NA,"Yo-Won Lee, Goo Jin, U-ie, Hae-in Jung, Gook-hwan Jeon, Han-yong Jeong",Corea del Sur,7.0/10,Netflix
El Alien y Yo,2016,16+,83 min,"Comedias, Dramas, Extranjeras",Jesús Magaña Vázquez,"Ines De Tavira, Juan Pablo Campa, Paco de la Fuente, Juan Ugarte, Carlos Aragón, Gloria Toba, Jessy Bulbo, Tato Alexander, Fabiola Guajardo, Arturo Carmona",México,5.5/10,Netflix
King Cobra,2016,18+,92 min,"Dramas, Independientes",Justin Kelly,"Garrett Clayton, Christian Slater, James Franco, Molly Ringwald, James Kelley, Keegan Allen, Robby Johnson, Rosemary Howard, Spencer Rocco Lofranco, Alicia Silverstone",Estados Unidos,5.6/10,Netflix
